Short_desc,Long_Desc,Series_ID,Indent
All items,U.S. city average All items Not Seasonally Adjusted,CUUR0000SA0,0
Apparel,U.S. city average Apparel Not Seasonally Adjusted,CUUR0000SAA,1
Men's and boys' apparel,U.S. city average Men's and boys' apparel Not Seasonally Adjusted,CUUR0000SAA1,2
Women's and girls' apparel,U.S. city average Women's and girls' apparel Not Seasonally Adjusted,CUUR0000SAA2,2
Education and communication,U.S. city average Education and communication Not Seasonally Adjusted,CUUR0000SAE,1
Education,U.S. city average Education Not Seasonally Adjusted,CUUR0000SAE1,2
Food and beverages,U.S. city average Food and beverages Not Seasonally Adjusted,CUUR0000SAF,1
Food,U.S. city average Food Not Seasonally Adjusted,CUUR0000SAF1,2
Food at home,U.S. city average Food at home Not Seasonally Adjusted,CUUR0000SAF11,3
Alcoholic beverages,U.S. city average Alcoholic beverages Not Seasonally Adjusted,CUUR0000SAF116,3
Other goods and services,U.S. city average Other goods and services Not Seasonally Adjusted,CUUR0000SAG,1
Personal care,U.S. city average Personal care Not Seasonally Adjusted,CUUR0000SAG1,2
Housing,U.S. city average Housing Not Seasonally Adjusted,CUUR0000SAH,1
Shelter,U.S. city average Shelter Not Seasonally Adjusted,CUUR0000SAH1,2
Fuels and utilities,U.S. city average Fuels and utilities Not Seasonally Adjusted,CUUR0000SAH2,2
Household energy,U.S. city average Household energy Not Seasonally Adjusted,CUUR0000SAH21,3
Household furnishings and operations,U.S. city average Household furnishings and operations Not Seasonally Adjusted,CUUR0000SAH3,2
Medical care,U.S. city average Medical care Not Seasonally Adjusted,CUUR0000SAM,1
Medical care commodities,U.S. city average Medical care commodities Not Seasonally Adjusted,CUUR0000SAM1,2
Medical care services,U.S. city average Medical care services Not Seasonally Adjusted,CUUR0000SAM2,2
Recreation,U.S. city average Recreation Not Seasonally Adjusted,CUUR0000SAR,1
Transportation,U.S. city average Transportation Not Seasonally Adjusted,CUUR0000SAT,1
Private transportation,U.S. city average Private transportation Not Seasonally Adjusted,CUUR0000SAT1,2
Men's apparel,U.S. city average Men's apparel Not Seasonally Adjusted,CUUR0000SEAA,3
Boys' apparel,U.S. city average Boys' apparel Not Seasonally Adjusted,CUUR0000SEAB,3
Women's apparel,U.S. city average Women's apparel Not Seasonally Adjusted,CUUR0000SEAC,3
Girls' apparel,U.S. city average Girls' apparel Not Seasonally Adjusted,CUUR0000SEAD,3
Footwear,U.S. city average Footwear Not Seasonally Adjusted,CUUR0000SEAE,2
Men's footwear,U.S. city average Men's footwear Not Seasonally Adjusted,CUUR0000SEAE01,3
Boys' and girls' footwear,U.S. city average Boys' and girls' footwear Not Seasonally Adjusted,CUUR0000SEAE02,3
Women's footwear,U.S. city average Women's footwear Not Seasonally Adjusted,CUUR0000SEAE03,3
Infants' and toddlers' apparel,U.S. city average Infants' and toddlers' apparel Not Seasonally Adjusted,CUUR0000SEAF,2
Jewelry and watches,U.S. city average Jewelry and watches Not Seasonally Adjusted,CUUR0000SEAG,2
Watches,U.S. city average Watches Not Seasonally Adjusted,CUUR0000SEAG01,3
Jewelry,U.S. city average Jewelry Not Seasonally Adjusted,CUUR0000SEAG02,3
Educational books and supplies,U.S. city average Educational books and supplies Not Seasonally Adjusted,CUUR0000SEEA,3
Tuition other school fees and childcare,U.S. city average Tuition other school fees and childcare Not Seasonally Adjusted,CUUR0000SEEB,3
Information technology hardware and services,U.S. city average Information technology hardware and services Not Seasonally Adjusted,CUUR0000SEEE,3
Food away from home,U.S. city average Food away from home Not Seasonally Adjusted,CUUR0000SEFV,3
Tobacco and smoking products,U.S. city average Tobacco and smoking products Not Seasonally Adjusted,CUUR0000SEGA,2
Cigarettes,U.S. city average Cigarettes Not Seasonally Adjusted,CUUR0000SEGA01,3
Tobacco products other than cigarettes,U.S. city average Tobacco products other than cigarettes Not Seasonally Adjusted,CUUR0000SEGA02,3
Personal care products,U.S. city average Personal care products Not Seasonally Adjusted,CUUR0000SEGB,3
Personal care services,U.S. city average Personal care services Not Seasonally Adjusted,CUUR0000SEGC,3
Miscellaneous personal services,U.S. city average Miscellaneous personal services Not Seasonally Adjusted,CUUR0000SEGD,3
Miscellaneous personal goods,U.S. city average Miscellaneous personal goods Not Seasonally Adjusted,CUUR0000SEGE,3
Rent of primary residence,U.S. city average Rent of primary residence Not Seasonally Adjusted,CUUR0000SEHA,3
Lodging away from home,U.S. city average Lodging away from home Not Seasonally Adjusted,CUUR0000SEHB,3
Owners' equivalent rent of residences,U.S. city average Owners' equivalent rent of residences Not Seasonally Adjusted,CUUR0000SEHC,3
